K2 MAC Lookup,K2 Host Name,K2 IP Address,Labstats Host Name VS K2 MAC,Labstats IP Address VS K2 MAC,IP MissMatch,Name Match,Column1,Column2,Column3
34:E6:D7:59:C2:7C,ITS8314WK-W7,172.17.8.12,ITS8314WK-W7,128.122.44.89,No Match,Match,06:4A:89:52:66:12-06:67:75:4A:36:EA,06:4A:89:52:66:12,#VALUE!
60:03:08:98:01:F6,ITS8293LP-MX,172.17.9.70,172-17-9-70.dynapool.nyu.edu,172.17.9.70,Match,No Match,06:3D:4F:A8:94:A0-06:47:CE:47:81:46,06:3D:4F:A8:94:A0,#VALUE!
68:5B:35:7F:58:7F,2ndSt-WS-06,172.18.164.21,#N/A,#N/A,#N/A,#N/A,06:4F:DE:1C:A5:04-06:5C:90:F4:20:98,06:4F:DE:1C:A5:04,#VALUE!
68:5B:35:80:CD:FC,2ndSt-WS-05,172.18.167.21,#N/A,#N/A,#N/A,#N/A,06:17:76:ED:CE:02-06:82:C9:AF:B6:90,06:17:76:ED:CE:02,#VALUE!
68:5B:35:85:B2:84,2ndSt-WS-02,172.18.181.100,#N/A,#N/A,#N/A,#N/A,06:11:A0:24:D3:74-06:C7:35:C4:5D:6E,06:11:A0:24:D3:74,#VALUE!
F4:5C:89:C3:7E:1F,LGA-Staff-LL-02,172.18.189.208,lga-staff-ll-02.local,172.18.190.144,No Match,No Match,06:AD:95:93:D3:A6-06:FF:27:DB:09:62,06:AD:95:93:D3:A6,#VALUE!
68:5B:35:85:B6:5D,2ndSt-WS-03,172.18.191.50,#N/A,#N/A,#N/A,#N/A,06:51:84:BE:00:F4-06:6E:75:6D:13:20,06:51:84:BE:00:F4,#VALUE!
68:5B:35:7F:74:A6,2ndSt-WS-01,172.18.198.45,#N/A,#N/A,#N/A,#N/A,06:A8:F4:30:80:CC-06:FF:5C:A2:1A:A8,06:A8:F4:30:80:CC,#VALUE!
34:E6:D7:5D:14:CF,ITS8315WK-W7,172.18.204.232,#N/A,#N/A,#N/A,#N/A,06:53:EF:57:58:DA-06:84:B4:73:D5:C2,06:53:EF:57:58:DA,#VALUE!
34:E6:D7:5D:14:A7,ITS8312WK-W7,172.18.205.189,ITS8312WK-W7,172.22.44.59,No Match,Match,06:36:B8:3A:03:90-06:61:ED:E2:A5:84,06:36:B8:3A:03:90,#VALUE!
68:5B:35:7F:52:FC,2ndSt-WS-04,172.18.207.157,#N/A,#N/A,#N/A,#N/A,06:C6:CE:D6:74:B6-06:E2:D6:A0:06:80,06:C6:CE:D6:74:B6,#VALUE!
10:DD:B1:B9:A9:22,Carlyle-WS-03,172.18.33.170,#N/A,#N/A,#N/A,#N/A,06:00:B1:08:B1:46-06:BB:22:EA:99:0A,06:00:B1:08:B1:46,#VALUE!
68:5B:35:7F:6D:A0,Carlyle-WS-02,172.18.4.95,#N/A,#N/A,#N/A,#N/A,06:6C:8E:3D:EB:26-06:7F:46:9F:FA:EC,06:6C:8E:3D:EB:26,#VALUE!
68:5B:35:7F:60:AE,Carlyle-WS-01,172.18.40.53,#N/A,#N/A,#N/A,#N/A,06:40:73:93:29:FC-06:60:62:30:55:3A,06:40:73:93:29:FC,#VALUE!
10:DD:B1:B1:7D:BF,Carlyle-WS-04,172.18.41.182,#N/A,#N/A,#N/A,#N/A,06:6C:C6:55:41:52-06:BC:1E:B8:FF:CE,06:6C:C6:55:41:52,#VALUE!
68:5B:35:7F:53:76,ITS8866WK-MX,172.22.100.10,its8866wk-mx.local,172.22.100.10,Match,No Match,06:29:79:84:73:26-06:C7:38:06:2F:4E,06:29:79:84:73:26,#VALUE!
68:5B:35:7F:53:8B,ITS8867WK-MX,172.22.100.11,its8867wk-mx.local,172.22.100.11,Match,No Match,06:6C:4F:06:C4:80-06:F5:D8:4C:51:54,06:6C:4F:06:C4:80,#VALUE!
68:5B:35:7D:EB:E5,ITS8868WK-MX,172.22.100.12,its8868wk-mx.local,172.22.100.12,Match,No Match,06:29:C8:1B:FC:18-06:2C:FF:E3:BE:70,06:29:C8:1B:FC:18,#VALUE!
0C:4D:E9:D2:5C:28,ITS8855WK-MX,172.22.100.13,its8855wk-mx.local,172.22.100.13,Match,No Match,06:3A:69:DE:6A:02-06:5D:48:96:5C:44,06:3A:69:DE:6A:02,#VALUE!
0C:4D:E9:D3:BC:0D,ITS8856WK-MX,172.22.100.14,its8856wk-mx.local,172.22.100.14,Match,No Match,06:19:CC:BC:56:1E-06:1E:2D:03:3D:D8,06:19:CC:BC:56:1E,#VALUE!
0C:4D:E9:D3:C9:1B,ITS8857WK-MX,172.22.100.15,its8857wk-mx.local,172.22.100.15,Match,No Match,06:3E:B4:47:D5:46-06:D8:04:D6:09:58,06:3E:B4:47:D5:46,#VALUE!
0C:4D:E9:D3:D1:A9,ITS8858WK-MX,172.22.100.16,its8858wk-mx.local,172.22.100.16,Match,No Match,06:5E:A3:95:A6:40-06:E3:77:18:23:6A,06:5E:A3:95:A6:40,#VALUE!
0C:4D:E9:D3:B4:E7,ITS8859WK-MX,172.22.100.17,its8859wk-mx.local,172.22.100.17,Match,No Match,06:C7:6A:E1:AF:76-06:FF:5A:1F:A4:98,06:C7:6A:E1:AF:76,#VALUE!
0C:4D:E9:D3:CE:8D,ITS8860WK-MX,172.22.100.18,its8860wk-mx.local,172.22.100.18,Match,No Match,06:54:2D:7C:69:B4-06:E3:76:2C:C1:70,06:54:2D:7C:69:B4,#VALUE!
0C:4D:E9:D1:82:B0,ITS8861WK-MX,172.22.100.19,its8861wk-mx.local,172.22.100.19,Match,No Match,06:61:B3:D6:19:1E-06:C8:5B:1C:DB:06,06:61:B3:D6:19:1E,#VALUE!
0C:4D:E9:D2:6E:B1,ITS8862WK-MX,172.22.100.20,its8862wk-mx.local,172.22.100.20,Match,No Match,06:40:9B:C7:02:C6-06:75:7A:DD:33:64,06:40:9B:C7:02:C6,#VALUE!
0C:4D:E9:D1:82:3D,ITS8849WK-MX,172.22.100.21,its8849wk-mx.local,172.22.100.21,Match,No Match,06:9E:12:86:A0:4A-06:DA:52:39:85:1A,06:9E:12:86:A0:4A,#VALUE!
0C:4D:E9:D2:5C:B4,ITS8850WK-MX,172.22.100.22,its8850wk-mx.local,172.22.100.22,Match,No Match,06:7E:8A:D5:E8:38-06:EA:6C:F4:9B:6A,06:7E:8A:D5:E8:38,#VALUE!
0C:4D:E9:D1:7F:1A,ITS8851WK-MX,172.22.100.23,its8851wk-mx.local,172.22.100.23,Match,No Match,06:5B:30:24:54:62-06:A3:4D:54:47:9A,06:5B:30:24:54:62,#VALUE!
0C:4D:E9:D3:D5:D7,ITS8841WK-MX,172.22.100.24,its8841wk-mx.local,172.22.100.24,Match,No Match,06:07:85:1C:D3:AA-06:64:71:0B:A0:A2,06:07:85:1C:D3:AA,#VALUE!
0C:4D:E9:D3:CA:3C,ITS8842WK-MX,172.22.100.25,its8842wk-mx.local,172.22.100.25,Match,No Match,06:03:27:FA:DC:46-06:E3:13:7D:38:56,06:03:27:FA:DC:46,#VALUE!
0C:4D:E9:D3:CC:D6,ITS8843WK-MX,172.22.100.26,its8843wk-mx.local,172.22.100.26,Match,No Match,06:28:C4:F6:69:D2-06:B7:40:33:EB:34,06:28:C4:F6:69:D2,#VALUE!
0C:4D:E9:D1:7E:E8,ITS8844WK-MX,172.22.100.27,its8844wk-mx.local,172.22.100.27,Match,No Match,06:3F:E1:0C:15:9C-06:9E:30:3D:33:B6,06:3F:E1:0C:15:9C,#VALUE!
68:5B:35:7F:55:06,ITS8863WK-MX,172.22.100.7,ITS8863WK-MX,172.22.100.7,Match,Match,06:16:C1:C9:C1:E2-06:9F:03:F8:78:54,06:16:C1:C9:C1:E2,#VALUE!
68:5B:35:85:B9:C8,ITS8864WK-MX,172.22.100.8,its8864wk-mx.local,172.22.100.8,Match,No Match,06:A8:D6:BB:F6:42-06:DA:CB:ED:9D:5C,06:A8:D6:BB:F6:42,#VALUE!
0C:4D:E9:9C:79:D4,ITS8865WK-MX,172.22.100.9,its8865wk-mx.local,172.22.100.9,Match,No Match,06:EA:C3:80:66:2A-06:FC:D3:84:84:AC,06:EA:C3:80:66:2A,#VALUE!
68:5B:35:7F:96:64,ITS8865WK-MX,172.22.100.9,#N/A,#N/A,#N/A,#N/A,06:1D:58:B5:41:BE-06:2B:E3:7D:77:E2,06:1D:58:B5:41:BE,#VALUE!
0C:4D:E9:D2:6C:13,ITS8845WK-MX,172.22.102.11,its8845wk-mx.local,172.22.102.11,Match,No Match,06:59:78:B7:17:04-06:CA:2D:17:99:C0,06:59:78:B7:17:04,#VALUE!
0C:4D:E9:D3:CA:BC,ITS8846WK-MX,172.22.102.12,its8846wk-mx.local,172.22.102.12,Match,No Match,06:0D:49:6A:6B:98-06:1F:81:0E:A4:64,06:0D:49:6A:6B:98,#VALUE!
0C:4D:E9:D3:B8:8C,ITS8847WK-MX,172.22.102.13,its8847wk-mx.local,172.22.102.13,Match,No Match,06:90:E5:C4:43:0A-06:B9:58:4D:AD:94,06:90:E5:C4:43:0A,#VALUE!
0C:4D:E9:D3:D2:17,ITS8848WK-MX,172.22.102.14,its8848wk-mx.local,172.22.102.14,Match,No Match,06:8E:B0:50:B4:5E-06:BB:B7:95:A1:76,06:8E:B0:50:B4:5E,#VALUE!
0C:4D:E9:D2:1E:46,ITS8854WK-MX,172.22.102.30,its8854wk-mx.local,172.22.102.30,Match,No Match,06:A3:79:2B:7C:94-06:E5:5F:BA:63:F4,06:A3:79:2B:7C:94,#VALUE!
0C:4D:E9:D1:89:07,ITS8852WK-MX,172.22.102.5,its8852wk-mx.local,172.22.102.5,Match,No Match,06:55:D7:D8:2F:74-06:56:2E:48:76:F2,06:55:D7:D8:2F:74,#VALUE!
0C:4D:E9:D3:CC:31,ITS8853WK-MX,172.22.102.6,its8853wk-mx.local,172.22.102.6,Match,No Match,06:12:D7:0E:EF:52-06:60:3F:A6:72:26,06:12:D7:0E:EF:52,#VALUE!
0C:4D:E9:9C:30:4A,its8907wk-mx,172.22.110.10,its8907wk-mx,172.22.110.10,Match,Match,06:75:AE:42:AF:72-06:96:3A:44:91:40,06:75:AE:42:AF:72,#VALUE!
0C:4D:E9:9C:6B:F8,its8908wk-mx,172.22.110.11,its8908wk-mx.local,172.22.110.11,Match,No Match,0c:4d:e9:9e:ec:08,#VALUE!,#VALUE!
0C:4D:E9:9C:9D:79,its8909wk-mx,172.22.110.12,its8909wk-mx.local,172.22.110.12,Match,No Match,68:5b:35:7d:dd:55,#VALUE!,#VALUE!
0C:4D:E9:9C:6D:B5,its8910wk-mx,172.22.110.13,its8910wk-mx.local,172.22.110.13,Match,No Match,98:5a:eb:e2:30:2f,#VALUE!,#VALUE!
0C:4D:E9:9C:6A:36,its8911wk-mx,172.22.110.14,its8911wk-mx.local,172.22.110.14,Match,No Match,B8:CA:3A:84:AE:4D,#VALUE!,#VALUE!
0C:4D:E9:9C:3B:6B,its8912wk-mx,172.22.110.15,its8912wk-mx.local,172.22.110.15,Match,No Match,18:66:DA:23:5C:3E,#VALUE!,#VALUE!
0C:4D:E9:9D:18:E1,its8913wk-mx,172.22.110.16,its8913wk-mx.local,172.22.110.16,Match,No Match,90:B1:1C:A3:D8:84,#VALUE!,#VALUE!
0C:4D:E9:9C:3E:50,its8914wk-mx,172.22.110.17,its8914wk-mx.local,172.22.110.17,Match,No Match,B8:CA:3A:74:58:E7,#VALUE!,#VALUE!
0C:4D:E9:9C:37:D4,its8904wk-mx,172.22.110.18,its8904wk-mx,172.22.110.18,Match,Match,18:66:DA:07:A0:39-90:B1:1C:A1:E5:D8,18:66:DA:07:A0:39,#VALUE!
0C:4D:E9:9C:6C:2B,ITS8891WK-MX,172.22.110.19,its8891wk-mx.local,172.22.110.19,Match,No Match,34:E6:D7:55:20:81,#VALUE!,#VALUE!
0C:4D:E9:9D:1B:A9,ITS8892WK-MX,172.22.110.20,its8892wk-mx.local,172.22.110.20,Match,No Match,34:E6:D7:59:C2:7C,#VALUE!,#VALUE!
0C:4D:E9:9C:36:9E,ITS8893WK-MX,172.22.110.21,its8893wk-mx.local,172.22.110.21,Match,No Match,34:17:EB:A4:FB:0D,#VALUE!,#VALUE!
0C:4D:E9:9C:3B:56,ITS8894WK-MX,172.22.110.22,its8894wk-mx.local,172.22.110.22,Match,No Match,34:17:EB:A5:76:18,#VALUE!,#VALUE!
0C:4D:E9:9C:75:E7,its8901wk-mx,172.22.110.5,its8901wk-mx.local,172.22.110.5,Match,No Match,68:5b:35:d2:91:03,#VALUE!,#VALUE!
0C:4D:E9:9C:36:A0,its8902wk-mx,172.22.110.6,its8902wk-mx.local,172.22.110.6,Match,No Match,00:0C:29:98:6E:D8,#VALUE!,#VALUE!
0C:4D:E9:9C:69:A1,its8903wk-mx,172.22.110.7,its8903wk-mx.local,172.22.110.7,Match,No Match,00:0C:29:36:5F:F0,#VALUE!,#VALUE!
68:5B:35:A4:5A:F3,ITS8581WK-MX,172.22.110.70,its8581wk-mx.local,172.22.110.70,Match,No Match,34:F3:9A:8B:57:9A,#VALUE!,#VALUE!
68:5B:35:A4:57:5D,ITS8582WK-MX,172.22.110.71,its8582wk-mx.local,172.22.110.71,Match,No Match,D0:53:49:68:A5:AD,#VALUE!,#VALUE!
68:5B:35:A4:56:59,ITS8583WK-MX,172.22.110.72,its8583wk-mx.local,172.22.110.72,Match,No Match,D0:53:49:68:9E:01,#VALUE!,#VALUE!
68:5B:35:A4:56:6E,ITS8584WK-MX,172.22.110.73,its8584wk-mx.local,172.22.110.73,Match,No Match,D0:53:49:68:9E:59,#VALUE!,#VALUE!
68:5B:35:A4:50:08,ITS8585WK-MX,172.22.110.74,its8585wk-mx.local,172.22.110.74,Match,No Match,D0:53:49:68:A5:DF,#VALUE!,#VALUE!
68:5B:35:A4:56:A9,ITS8586WK-MX,172.22.110.75,its8586wk-mx.local,172.22.110.75,Match,No Match,60:03:08:98:08:44,#VALUE!,#VALUE!
68:5B:35:A4:55:50,ITS8587WK-MX,172.22.110.76,its8587wk-mx.local,172.22.110.76,Match,No Match,0c:4d:e9:9e:da:aa,#VALUE!,#VALUE!
68:5B:35:A3:D3:3F,ITS8588WK-MX,172.22.110.77,its8588wk-mx.local,172.22.110.77,Match,No Match,60:03:08:98:03:56,#VALUE!,#VALUE!
68:5B:35:7F:55:A5,ITS8589WK-MX,172.22.110.78,its8589wk-mx.local,172.22.110.78,Match,No Match,60:03:08:97:c9:1e,#VALUE!,#VALUE!
68:5B:35:A3:F6:02,ITS8590WK-MX,172.22.110.79,its8590wk-mx.local,172.22.110.79,Match,No Match,f4:5c:89:c3:7a:f7,#VALUE!,#VALUE!
0C:4D:E9:9D:0E:3F,its8905wk-mx,172.22.110.8,its8905wk-mx.local,172.22.110.8,Match,No Match,0c:4d:e9:9e:f8:32,#VALUE!,#VALUE!
68:5B:35:7F:56:8A,ITS8591WK-MX,172.22.110.80,its8591wk-mx.local,172.22.110.80,Match,No Match,98:5a:eb:cf:6d:9b,#VALUE!,#VALUE!
68:5B:35:A3:D3:5E,ITS8592WK-MX,172.22.110.81,its8592wk-mx.local,172.22.110.81,Match,No Match,D0:53:49:68:A6:B7,#VALUE!,#VALUE!
0C:4D:E9:9C:36:CE,its8906wk-mx,172.22.110.9,its8906wk-mx.local,172.22.110.9,Match,No Match,34:E6:D7:5D:14:CF-D0:53:49:68:9E:5B,34:E6:D7:5D:14:CF,#VALUE!
0C:4D:E9:9C:32:30,ITS8915WK-MX,172.22.111.230,its8915wk-mx.local,172.22.111.230,Match,No Match,98:5a:eb:cf:6d:55,#VALUE!,#VALUE!
0C:4D:E9:9E:E7:BB,ITS8916WK-MX,172.22.111.231,its8916wk-mx.local,172.22.111.231,Match,No Match,60:03:08:98:01:f6,#VALUE!,#VALUE!
68:5B:35:80:DA:F1,ITS8917WK-MX,172.22.111.232,its8917wk-mx.local,172.22.111.232,Match,No Match,f4:5c:89:c3:7e:1f,#VALUE!,#VALUE!
68:5B:35:7F:5A:3D,its8966wk-mx,172.22.111.85,its8966wk-mx.local,172.22.111.85,Match,No Match,60:03:08:98:1c:a2,#VALUE!,#VALUE!
38:C9:86:42:16:9D,its8968wk-mx,172.22.111.87,its8968wk-mx.local,172.22.111.87,Match,No Match,68:5b:35:7f:53:76,#VALUE!,#VALUE!
0C:4D:E9:9E:E8:65,ITS8946WK-MX,172.22.133.10,its8946wk-mx.local,172.22.133.10,Match,No Match,68:5b:35:7f:53:8b,#VALUE!,#VALUE!
C8:1F:66:B1:86:D3,ITS8814WK-W7,172.22.133.14,ITS8814WK-W7,172.22.133.14,Match,Match,68:5b:35:7d:eb:e5,#VALUE!,#VALUE!
C8:1F:66:B5:4C:51,ITS8396WK-W7,172.22.133.15,WINDOWS-Q5UO1G2,172.22.133.15,Match,No Match,0c:4d:e9:d2:5c:28,#VALUE!,#VALUE!
C8:1F:66:B6:FC:6C,ITS8395WK-W7,172.22.133.16,WINDOWS-BJ4J46E,172.22.133.16,Match,No Match,0c:4d:e9:d3:bc:0d,#VALUE!,#VALUE!
C8:1F:66:B6:F1:3C,ITS8781WK-W7,172.22.133.17,WINDOWS-CRPEKMC,172.22.133.17,Match,No Match,0c:4d:e9:d3:c9:1b,#VALUE!,#VALUE!
C8:1F:66:B6:F1:A4,ITS8782WK-W7,172.22.133.18,WINDOWS-F2BFT2G,172.22.133.18,Match,No Match,0c:4d:e9:d3:d1:a9,#VALUE!,#VALUE!
C8:1F:66:B5:4C:00,ITS8783WK-W7,172.22.133.19,WINDOWS-ODCHH8K,172.22.133.19,Match,No Match,0c:4d:e9:d3:b4:e7,#VALUE!,#VALUE!
C8:1F:66:B5:4C:0C,ITS8789WK-W7,172.22.133.20,WINDOWS-744TF5K,172.22.133.20,Match,No Match,0c:4d:e9:d3:ce:8d,#VALUE!,#VALUE!
C8:1F:66:B6:FC:A4,ITS8788WK-W7,172.22.133.21,WINDOWS-VRIBFDU,172.22.133.21,Match,No Match,0c:4d:e9:d1:82:b0,#VALUE!,#VALUE!
C8:1F:66:B5:4B:B2,ITS8787WK-W7,172.22.133.22,WINDOWS-U6F39V7,172.22.133.22,Match,No Match,0c:4d:e9:d2:6e:b1,#VALUE!,#VALUE!
C8:1F:66:B6:F1:EB,ITS8786WK-W7,172.22.133.23,WINDOWS-19EGUJE,172.22.133.23,Match,No Match,0c:4d:e9:d1:82:3d,#VALUE!,#VALUE!
C8:1F:66:B6:9F:FD,ITS8785WK-W7,172.22.133.24,WINDOWS-T63CGFS,172.22.133.24,Match,No Match,0c:4d:e9:d2:5c:b4,#VALUE!,#VALUE!
C8:1F:66:B5:4C:2D,ITS8784WK-W7,172.22.133.25,WINDOWS-RFMSE98,172.22.133.25,Match,No Match,0c:4d:e9:d1:7f:1a,#VALUE!,#VALUE!
C8:1F:66:B6:F4:04,ITS8790WK-W7,172.22.133.27,WINDOWS-MUO2OP1,172.22.133.27,Match,No Match,0c:4d:e9:d3:d5:d7,#VALUE!,#VALUE!
C8:1F:66:B5:4C:24,ITS8791WK-W7,172.22.133.28,WINDOWS-66IULMH,172.22.133.28,Match,No Match,0c:4d:e9:d3:ca:3c,#VALUE!,#VALUE!
C8:1F:66:B6:F6:25,ITS8792WK-W7,172.22.133.29,WINDOWS-8RTPA2P,172.22.133.29,Match,No Match,0c:4d:e9:d3:cc:d6,#VALUE!,#VALUE!
C8:1F:66:B6:9C:BF,ITS8794WK-W7,172.22.133.31,WINDOWS-OS6Q84S,172.22.133.31,Match,No Match,0c:4d:e9:d1:7e:e8,#VALUE!,#VALUE!
C8:1F:66:B5:7F:8A,ITS8795WK-W7,172.22.133.32,WINDOWS-8DNEPVP,172.22.133.32,Match,No Match,68:5b:35:7f:55:06,#VALUE!,#VALUE!
C8:1F:66:B6:FD:BC,ITS8801WK-W7,172.22.133.33,WINDOWS-TB79SI6,172.22.133.33,Match,No Match,68:5b:35:85:b9:c8,#VALUE!,#VALUE!
C8:1F:66:B6:9F:B2,ITS8800WK-W7,172.22.133.34,WINDOWS-FGBP7OA,172.22.133.34,Match,No Match,0c:4d:e9:9c:79:d4,#VALUE!,#VALUE!
C8:1F:66:B5:4C:0E,ITS8799WK-W7,172.22.133.35,WINDOWS-UTDVCH7,172.22.133.35,Match,No Match,0c:4d:e9:d2:6c:13,#VALUE!,#VALUE!
C8:1F:66:B6:6C:C5,ITS8798WK-W7,172.22.133.36,WINDOWS-53FJ7BC,172.22.133.36,Match,No Match,0c:4d:e9:d3:ca:bc,#VALUE!,#VALUE!
C8:1F:66:B6:A0:92,ITS8797WK-W7,172.22.133.37,WINDOWS-O3E4KCN,172.22.133.37,Match,No Match,0c:4d:e9:d3:b8:8c,#VALUE!,#VALUE!
C8:1F:66:B6:F1:D4,ITS8796WK-W7,172.22.133.38,WINDOWS-O55DF4E,172.22.133.38,Match,No Match,0c:4d:e9:d3:d2:17,#VALUE!,#VALUE!
C8:1F:66:B6:FD:6A,ITS8802WK-W8,172.22.133.39,#N/A,#N/A,#N/A,#N/A,0c:4d:e9:d2:1e:46,#VALUE!,#VALUE!
